nombreUbicacion,latitud,longitud,magnitudSismo,tsunami,volcan,pais,profundidadSismo,intensidad,fecha,muertesActualizadas,ordenCantidadMuertesActualizadas,lesionesActualizadas,ordenCantidadLesionesActualizadas,casasDanadasActualizadas,ordenCantidadCasasDanadasActualizadas,casasDestruidasActualizadas,ordenCantidadCasasDestruidasActualizadas,danosActualizados,ordenCantidadDanosActualizados
"JAPAN:  OFUNATO, TOHOKU",38.78,141.95,6.1,0,0,JAPAN,60.0,8.0,1978-02-20,1.0,1.0,30.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
INDIA:  MAHARASHTRA:  DHEBEWADI,17.072,73.668,4.3,0,0,INDIA,10.0,7.85655923740354,2005-03-15,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
RUSSIA:  KURIL ISLANDS,45.5,151.5,8.3,1,0,RUSSIA,33.0,7.85655923740354,1918-09-07,23.0,1.0,7.0,1.0,19.0,1.0,51.0,2.0,1.0,2.0
CHINA:  SICHUAN PROVINCE,32.6,104.1,6.3,0,0,CHINA,40.153361344537814,8.0,1630-01-16,51.0,2.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
TURKEY:  SIRNAK,37.294,42.325,5.3,0,0,TURKEY,5.0,7.85655923740354,2012-06-14,1.0,1.0,23.0,1.0,25.0,1.0,101.0,3.0,0.5,1.0
"CHILE:  CONCEPCION, CHILLAN, TALCA, TUTUBEN, CURICO",-36.83,-71.63,8.5,1,0,CHILE,40.153361344537814,11.0,1751-05-25,65.0,2.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
JAPAN:  SANRIKU,37.0,141.5,6.0,1,0,JAPAN,60.0,7.85655923740354,1938-11-13,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"TURKEY:  MUDURNU, ADAPAZARI",40.751,30.8,7.3,0,0,TURKEY,30.0,10.0,1967-07-22,86.0,2.0,1.0,1.0,1.0,3.0,101.0,3.0,3.0,2.0
JAPAN:  HONSHU:  TOKYO,39.03,140.881,6.9,0,0,JAPAN,8.0,7.85655923740354,2008-06-13,13.0,1.0,357.0,3.0,614.0,3.0,101.0,3.0,5.0,3.0
CHINA:  XINJIANG,44.68,81.58,6.4,0,0,CHINA,40.153361344537814,8.0,1962-08-19,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5,1.0
ITALY:  NASO,38.117,14.783,5.6,1,0,ITALY,40.153361344537814,10.0,1613-08-25,103.0,3.0,1.0,1.0,1.0,3.0,200.0,3.0,1.0,2.0
NICARAGUA,11.96,-88.835,6.9,1,0,NICARAGUA,33.0,5.0,2016-11-24,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
COLOMBIA,4.6,-74.0,7.7,0,0,COLOMBIA,40.153361344537814,7.85655923740354,1903-08-08,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
CHILE:  TARAPACA,-19.987,-69.197,7.7,0,0,CHILE,116.0,7.85655923740354,2005-06-13,11.0,1.0,200.0,3.0,1.0,3.0,544.0,3.0,1.0,2.0
INDONESIA:  SUMATERA:  SIMEULUE,2.824,96.085,7.3,0,0,INDONESIA,30.0,7.85655923740354,2002-11-02,3.0,1.0,65.0,2.0,994.0,3.0,101.0,3.0,5.0,3.0
"IRAN:  GAHKOM,LAIGAZAN,PATKUIYEH,GOLRUIYEH,GANJ",27.8,55.6,5.2,0,0,IRAN,37.0,7.85655923740354,1963-07-29,5.0,1.0,8.0,1.0,1.0,3.0,350.0,3.0,1.0,2.0
"BALKANS NW:  SLOVENIA:  KRISKO,BRESTANICA",46.0,15.5,5.0,0,0,SLOVENIA,6.0,8.0,1628-06-17,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
COSTA RICA-PANAMA,8.008,-82.757,6.8,1,0,PANAMA,35.0,7.85655923740354,1962-03-12,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
IRAN; PAKISTAN:  MASHKAL,28.033,61.996,7.7,0,0,IRAN,80.0,7.85655923740354,2013-04-16,40.0,1.0,300.0,3.0,1000.0,3.0,101.0,3.0,5.0,3.0
INDIA:  MAHARASHTRA,17.438,73.915,5.0,0,0,INDIA,10.0,7.85655923740354,2008-09-16,1.0,1.0,20.0,1.0,1500.0,4.0,101.0,3.0,5.0,3.0
TAIWAN,24.4,121.8,7.3,0,0,TAIWAN,40.153361344537814,7.85655923740354,1909-11-21,4.0,1.0,1.0,1.0,1.0,3.0,14.0,1.0,0.5,1.0
RUSSIA:  KURIL-JAPAN:  HOKKAIDO,43.2,146.7,6.7,1,0,RUSSIA,43.0,4.0,1974-09-27,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
INDONESIA:  SUMBAWA ISLAND,-8.254,115.847,6.2,0,0,INDONESIA,38.0,7.85655923740354,1979-10-20,2.0,1.0,40.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
TAIWAN,25.5,122.5,7.8,0,0,TAIWAN,200.0,7.85655923740354,1910-04-12,60.0,2.0,1.0,1.0,1.0,3.0,13.0,1.0,0.5,1.0
"COLOMBIA:  CAQUETA, PUTUMAYO",2.5,-71.0,7.6,0,0,COLOMBIA,600.0,7.85655923740354,1922-01-16,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
DOMINICAN REPUBLIC:  SANTO DOMINGO,17.984,-69.338,6.7,0,0,DOMINICAN REPUBLIC,24.0,5.0,1984-06-24,5.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
MYANMAR:  TACHILEK,20.687,99.822,6.8,0,0,MYANMAR (BURMA),8.0,7.85655923740354,2011-03-24,104.0,3.0,123.0,3.0,10104.0,4.0,101.0,3.0,3.6,2.0
CHILE,-20.0,-71.0,7.6,1,0,CHILE,40.0,7.85655923740354,1933-02-23,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
CALIFORNIA:  NORTH COAST,41.117,-124.253,7.2,0,0,USA,19.0,7.0,1980-11-08,1.0,1.0,6.0,1.0,1.0,1.0,101.0,3.0,2.0,2.0
ARGENTINA:  POTRERILLOS,-32.938,-69.259,4.1,0,0,ARGENTINA,10.0,7.85655923740354,2008-12-10,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
KYRGYZSTAN:  TOLUK,42.142,73.575,7.5,0,0,KYRGYZSTAN,27.0,9.0,1992-08-19,75.0,2.0,1.0,1.0,1.0,3.0,8200.0,4.0,130.0,4.0
KYRGYZSTAN:  BOLOSAGUN,42.6,75.2,6.4,0,0,KYRGYZSTAN,5.0,9.0,1475-00-00,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
RUSSIA:  KURIL ISLANDS,44.209,148.971,6.8,1,0,RUSSIA,46.0,5.0,1978-03-23,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
JAPAN:  SEIKAIDO,31.9,132.0,7.1,1,0,JAPAN,60.0,7.85655923740354,1899-11-24,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
"KERMADEC ISLANDS:  S OF, RAOUL",-29.613,-177.843,7.4,1,0,NEW ZEALAND,55.0,7.0,2021-03-04,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
RUSSIA:  KURIL ISLANDS,45.0,150.0,7.6,0,0,RUSSIA,40.0,7.85655923740354,1908-11-06,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
IRAN:  WESTERN:  MASJED-E- SOLEYMAN,31.953,49.209,5.0,0,0,IRAN,33.0,7.85655923740354,2003-12-11,0.0,0.0,5.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0
TURKEY:  MALAZGIRT,39.1,42.5,6.3,0,0,TURKEY,40.153361344537814,10.0,1903-04-28,3560.0,4.0,1000.0,4.0,1.0,3.0,12000.0,4.0,25.0,4.0
EL SALVADOR:  SAN MARCOS,13.5,-89.3,6.0,0,0,EL SALVADOR,23.0,6.0,1965-05-03,125.0,3.0,1138.0,4.0,1.0,3.0,101.0,3.0,35.0,4.0
NEPAL; INDIA:  BIHAR,26.773,86.762,8.0,1,0,NEPAL,35.0,11.0,1934-01-15,10600.0,4.0,1.0,1.0,1000.0,4.0,1000.0,4.0,25.0,4.0
JAPAN:  N. HONSHU ISLAND,41.346,139.099,6.9,1,0,JAPAN,10.0,7.85655923740354,1983-06-21,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
"JORDAN:  MA'IN; ISRAEL:  JERUSALEM, PETAH-TIQWA",31.675,35.551,5.3,1,0,JORDAN,27.0,7.85655923740354,2004-02-11,1.0,1.0,4.0,1.0,51.0,2.0,101.0,3.0,1.0,2.0
CHINA:  HEBEI PROVINCE,37.47,115.03,5.2,0,0,CHINA,40.153361344537814,7.0,1966-03-06,1.0,1.0,1.0,1.0,1.0,3.0,11.0,1.0,0.5,1.0
COLOMBIA,4.6,-74.0,7.7,0,0,COLOMBIA,40.153361344537814,9.0,1906-07-11,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
INDONESIA:  MOLUCCA ISLANDS:  N,-0.529,128.093,7.3,0,0,INDONESIA,10.0,7.85655923740354,2019-07-14,8.0,1.0,134.0,3.0,1158.0,4.0,1176.0,4.0,1.0,2.0
SOLOMON ISLANDS:  SANTA CRUZ ISLANDS; VANUATU,-12.525,165.916,7.9,1,0,SOLOMON ISLANDS,33.0,7.85655923740354,1980-07-17,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
INDONESIA:  CELEBES SEA,3.0,123.0,7.5,0,0,INDONESIA,40.153361344537814,7.85655923740354,1908-05-05,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
PHILIPPINES:  MINDANAO,7.249,122.939,6.8,0,0,PHILIPPINES,22.0,7.85655923740354,1976-08-17,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
CHINA:  GUANGXI PROVINCE,22.96,106.711,5.0,0,0,CHINA,10.0,7.85655923740354,2019-11-25,1.0,1.0,4.0,1.0,1.0,1.0,101.0,3.0,0.5,1.0
PHILIPPINES:  AGNO,16.0,118.0,6.5,1,0,PHILIPPINES,40.153361344537814,7.85655923740354,1924-05-06,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
"GEORGIA:  CAUCASUS:  GORI, TIFLIS",42.0,44.1,6.2,0,0,GEORGIA,11.0,7.85655923740354,1920-02-20,101.0,3.0,1.0,1.0,101.0,3.0,101.0,3.0,5.0,3.0
JAPAN:  OFF COAST OF HONSHU,42.5,146.0,7.9,1,0,JAPAN,40.0,9.0,1894-03-22,1.0,1.0,6.0,1.0,99.0,2.0,14.0,1.0,1.0,2.0
"PERU:  N, RIOJA, MOYOBAMBA, IQUITOS",-6.062,-77.136,4.9,0,0,PERU,26.0,6.0,1990-06-09,1.0,1.0,1.0,1.0,1.0,3.0,14.0,1.0,0.5,1.0
"INDONESIA:  JAVA:  JOGYAKARTA:  KLUMPIT,PRAMBANAN",-9.4,110.2,7.2,0,0,INDONESIA,70.0,9.0,1937-09-27,1.0,1.0,1.0,1.0,2200.0,4.0,326.0,3.0,5.0,3.0
"GREECE:  S, MESSINIA, BERGA, NEDOUSA",36.93,22.175,4.8,0,0,GREECE,10.0,7.0,1986-09-15,1.0,1.0,37.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
COLOMBIA-ECUADOR,0.2,-78.4,6.0,0,0,COLOMBIA,40.153361344537814,7.85655923740354,1955-07-20,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
MEXICO:  BAJA CALIFORNIA,32.297,-115.278,7.2,0,0,MEXICO,4.0,7.85655923740354,2010-04-04,2.0,1.0,233.0,3.0,101.0,3.0,101.0,3.0,1150.0,4.0
CHINA:  S. XINJIANG:  BACHU,39.483,77.393,5.4,0,0,CHINA,10.0,7.85655923740354,2003-02-25,5.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
"PERU:  LIMA, YAUYOS",-12.3,-76.35,6.3,0,0,PERU,98.0,7.85655923740354,1974-01-05,10.0,1.0,101.0,3.0,1.0,3.0,101.0,3.0,5.0,3.0
EL SALVADOR:  LA UNION; HONDURAS,13.33,-87.81,6.2,1,0,EL SALVADOR,40.153361344537814,7.85655923740354,1859-08-25,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
ALASKA:  ALASKA PENINSULA,57.5,-155.0,7.5,0,0,USA,90.0,5.0,1912-11-07,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
CHINA:  GANSU PROVINCE:  LINTAO,35.3,104.3,6.0,0,0,CHINA,40.153361344537814,5.0,1631-07-21,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
VANUATU ISLANDS,-20.0,169.0,7.5,0,0,VANUATU,80.0,7.85655923740354,1910-06-01,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
INDONESIA:  CELEBES SEA,5.5,94.0,6.5,1,0,INDONESIA,40.153361344537814,7.85655923740354,1935-11-25,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
UGANDA: KITGUM,3.0,33.0,6.8,0,0,UGANDA,40.153361344537814,7.85655923740354,1912-07-09,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
TURKEY,40.6,33.6,6.1,0,0,TURKEY,40.153361344537814,7.85655923740354,1881-09-28,12.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
CHILE:  CONCEPCION,-36.83,-73.03,6.5,1,0,CHILE,40.153361344537814,8.0,1898-07-23,6.0,1.0,1.0,1.0,1.0,3.0,51.0,2.0,1.0,2.0
CHILE:  NORTHERN,-20.94,-69.81,6.0,1,0,CHILE,33.0,7.85655923740354,1970-11-28,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
PHILIPPINES:  MINDANAO,6.898,126.579,7.5,0,0,PHILIPPINES,33.0,7.85655923740354,2001-01-01,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"ITALY:  ORCIANO, LUCIANA",43.4,10.6,6.1,1,0,ITALY,5.0,10.0,1846-08-14,56.0,2.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
"CHINA:  YUNNAN PROVINCE:  GENGMA, LANCANG, MENGLIAN",23.553,99.526,5.6,0,0,CHINA,33.0,7.85655923740354,1989-05-07,1.0,1.0,91.0,2.0,1.0,3.0,5300.0,4.0,54.0,4.0
GUAM,13.986,144.901,6.5,0,0,USA TERRITORY,101.0,7.0,1997-04-23,1.0,1.0,4.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
TAIWAN,23.1,120.3,6.8,0,0,TAIWAN,40.153361344537814,9.0,1946-12-04,58.0,2.0,384.0,3.0,1.0,3.0,700.0,3.0,1.0,2.0
CHINA:  QINGHAI PROVINCE,32.447,95.948,5.3,0,0,CHINA,29.0,7.85655923740354,2011-06-26,1.0,1.0,1.0,1.0,101.0,3.0,10.0,1.0,0.5,1.0
DOMINICAN REPUBLIC:  SANTO DOMINGO,18.0,-69.8,6.1,0,0,DOMINICAN REPUBLIC,57.0,7.85655923740354,1971-06-11,1.0,1.0,51.0,2.0,1.0,3.0,101.0,3.0,1.0,2.0
"GREECE:  RHODES, KOS",36.5,28.0,7.8,1,0,GREECE,40.153361344537814,11.0,1863-04-22,300.0,3.0,101.0,3.0,1.0,3.0,2050.0,4.0,5.0,3.0
EL SALVADOR:  ALEGRIA,13.668,-88.478,4.5,0,0,EL SALVADOR,10.0,4.0,2015-08-09,1.0,1.0,4.0,1.0,92.0,2.0,101.0,3.0,1.0,2.0
CHILE:  ARICA,-18.6,-71.0,8.5,1,0,CHILE,25.0,11.0,1868-08-13,25000.0,4.0,1.0,1.0,1.0,3.0,101.0,3.0,300.0,4.0
"IRAN:  W, NAHAVAND-HAMADEN-TUYSARKAN",34.076,48.266,4.6,0,0,IRAN,41.0,7.85655923740354,1987-05-29,2.0,1.0,50.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
CALIFORNIA:  SANTA BARBARA,34.418,-120.196,6.8,0,0,USA,10.0,9.0,1925-06-29,13.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,8.0,3.0
WASHINGTON,47.167,-122.617,7.0,1,0,USA,40.153361344537814,8.0,1949-04-13,8.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,25.0,4.0
SOUTH AFRICA:  CARLETONVILLE,-26.414,27.494,3.5,0,0,SOUTH AFRICA,2.0,7.85655923740354,2009-12-06,2.0,1.0,3.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
ITALY:  S,41.051,14.601,4.6,0,0,ITALY,10.0,7.0,1981-02-14,12.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
ITALY:  PORTO SAN GIORGIO-PERMO-PDEASO AREA,43.242,13.874,4.6,0,0,ITALY,19.0,8.0,1987-09-04,1.0,1.0,2.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"BALKANS NW:  SLOVENIA:  TRSTENIK,BELA,TENETISE",46.29,14.29,4.6,0,0,SLOVENIA,6.0,6.0,1977-07-16,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
UZBEKISTAN:  BUKHARA,39.8,64.4,6.1,0,0,UZBEKISTAN,20.0,8.0,1390-05-00,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"INDONESIA:  SUMATERA:  S, HAHAT, MUARAENIM",-3.904,103.461,5.0,0,0,INDONESIA,33.0,7.85655923740354,1986-01-29,1.0,1.0,2.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
"IRAN:  SARPIR,DORAHAN,DEH BAGH",31.549,51.062,5.5,0,0,IRAN,33.0,7.0,1975-09-21,2.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
"CHINA:  YUNNAN PROVINCE:  LUDIAN, ZHAOTONG",27.372,103.971,5.6,0,0,CHINA,33.0,7.85655923740354,2003-11-14,4.0,1.0,65.0,1.0,600.0,3.0,600.0,3.0,1.0,2.0
IRAN:  NEHBANDAN,31.6,60.0,5.0,0,0,IRAN,40.153361344537814,7.85655923740354,1928-03-08,4.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
CHINA:  QINGHAI PROVINCE,35.7,97.0,7.0,0,0,CHINA,40.153361344537814,8.0,1963-04-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
JAPAN:  KUMANONADA,33.8,136.9,7.0,1,0,JAPAN,40.153361344537814,7.85655923740354,1408-01-21,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"CALIFORNIA:  BAJA,IMPERIAL VALLEY",31.8,-115.5,7.1,0,0,USA,40.153361344537814,10.0,1934-12-31,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
CHINA:  SICHUAN PROVINCE:  YANYUAN,27.5,101.6,5.5,0,0,CHINA,40.153361344537814,7.0,1478-08-17,101.0,3.0,1.0,1.0,1.0,3.0,51.0,2.0,1.0,2.0
PAPUA NEW GUINEA:  BOUGAINVILLE ISLAND,-6.586,155.049,7.1,0,0,PAPUA NEW GUINEA,61.0,7.85655923740354,2014-04-11,1.0,1.0,1.0,1.0,1.0,3.0,51.0,2.0,0.5,1.0
GREECE:  SOUTHERN,37.459,22.155,5.5,0,0,GREECE,17.0,8.0,1966-09-01,1.0,1.0,123.0,3.0,1500.0,4.0,180.0,3.0,14.0,3.0
INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAPEN,-1.829,136.943,8.1,1,0,INDONESIA,15.0,9.0,1914-05-26,101.0,3.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
INDONESIA:  BANDA SEA,-4.0,129.0,7.0,1,0,INDONESIA,40.153361344537814,7.85655923740354,1711-09-05,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.5,1.0
FIJI ISLANDS,-16.76,-179.984,6.9,1,0,FIJI,33.0,7.85655923740354,1979-11-16,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
NEW ZEALAND:  OFF COAST NORTH ISLAND,-38.42,178.88,6.9,1,0,NEW ZEALAND,12.0,7.85655923740354,1947-05-17,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
INDONESIA:  JAVA,-10.477,112.835,7.8,1,0,INDONESIA,18.0,7.85655923740354,1994-06-02,238.0,3.0,423.0,3.0,1.0,3.0,1500.0,4.0,2.2,2.0
"GHANA:  HO, AKPAFU, PALIME, MISA, ACCRA; TOGO",6.5,0.3,5.0,1,0,GHANA,40.153361344537814,8.0,1906-11-20,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
JAPAN:  ENSHUNADA,34.0,137.5,8.4,1,0,JAPAN,40.153361344537814,7.85655923740354,1096-12-17,400.0,3.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"SANRIKU, JAPAN",39.5,142.5,6.9,1,0,JAPAN,40.153361344537814,7.85655923740354,1846-03-00,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
IRAN:  SOUTHERN:  FARS PROVINCE,29.501,51.88,6.2,0,0,IRAN,33.0,8.0,1999-05-06,26.0,1.0,100.0,2.0,1.0,3.0,800.0,3.0,1.0,2.0
NEW ZEALAND:  COOK STRAIT,-41.364,174.315,5.3,0,0,NEW ZEALAND,56.0,7.85655923740354,2011-12-03,1.0,1.0,1.0,1.0,51.0,2.0,101.0,3.0,0.5,1.0
ARGENTINA:  SAN JUAN PROVINCE,-31.5,-68.5,7.8,0,0,ARGENTINA,50.0,7.85655923740354,1944-01-15,8000.0,4.0,1.0,1.0,1.0,3.0,101.0,3.0,100.0,4.0
PHILIPPINES:  W. LUZON ISLAND:  CAGAYAN:  BANGUI,18.7,121.8,7.5,1,0,PHILIPPINES,40.153361344537814,10.0,1627-09-14,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
INDONESIA:   JAVA:  JOGYAKARTA,-9.5,110.0,8.1,0,0,INDONESIA,90.0,8.0,1943-07-23,213.0,3.0,2096.0,4.0,2800.0,4.0,101.0,3.0,5.0,3.0
"ITALY:   AVELLINO, POTENZA, CASERTA, NAPLES",40.914,15.366,6.9,0,0,ITALY,20.0,10.0,1980-11-23,4689.0,4.0,7700.0,4.0,1.0,3.0,101.0,3.0,20000.0,4.0
ITALY:  SICILY,38.1,16.03,5.0,0,0,ITALY,33.0,7.85655923740354,1978-03-11,2.0,1.0,51.0,2.0,1.0,3.0,101.0,3.0,1.0,2.0
"CALIFORNIA:  ARCADIA, GLENDALE, LOS ANGELES",34.262,-118.002,5.1,0,0,USA,11.0,7.0,1991-06-28,2.0,1.0,104.0,3.0,1.0,3.0,101.0,3.0,33.5,4.0
CALIFORNIA:  NORTHERN,41.0,-125.5,7.6,0,0,USA,40.153361344537814,7.85655923740354,1922-01-31,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
ALBANIA:  GJIROKASTEV,40.0,20.2,5.6,0,0,ALBANIA,33.0,7.85655923740354,1967-02-09,1.0,1.0,1.0,1.0,1.0,3.0,77.0,2.0,1.0,2.0
INDONESIA:  SUMATRA:  AJERBANGIS,0.0,99.5,6.8,1,0,INDONESIA,40.153361344537814,7.85655923740354,1885-07-29,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
IRAN:  QOM,34.437,50.833,5.5,0,0,IRAN,5.0,7.85655923740354,2007-06-18,1.0,1.0,1.0,1.0,51.0,2.0,51.0,2.0,0.5,1.0
"INDONESIA:  SULAWESI:  KAKAS,LANGOWAN,POSO,TONDANO",0.5,126.0,7.4,0,0,INDONESIA,40.153361344537814,7.0,1932-05-14,6.0,1.0,115.0,2.0,1.0,3.0,592.0,3.0,5.0,3.0
"INDIA:  ASSAM:  KAMRUP, GUWAHATI",26.175,92.889,5.4,0,0,INDIA,43.0,7.85655923740354,2012-05-11,1.0,1.0,2.0,1.0,51.0,2.0,101.0,3.0,0.5,1.0
"COSTA RICA:  SE, PANAMA: W",8.677,-83.098,7.5,1,0,COSTA RICA,30.0,7.85655923740354,1983-04-03,6.0,1.0,51.0,2.0,1.0,3.0,101.0,3.0,1.0,2.0
PAPUA NEW GUINEA,-8.0,150.0,7.8,0,0,PAPUA NEW GUINEA,60.0,7.85655923740354,1902-01-24,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"TURKEY:  DEMIRCI, MANISA",39.1,28.7,5.7,0,0,TURKEY,18.0,8.0,1970-04-23,1.0,1.0,43.0,1.0,150.0,3.0,150.0,3.0,1.0,2.0
CHINA:  YUNNAN PROVINCE:  YONGSHAN,28.125,103.546,5.0,0,0,CHINA,10.0,7.0,2014-08-16,1.0,1.0,6.0,1.0,337.0,3.0,101.0,3.0,0.5,1.0
PERU,-10.5,-77.0,8.2,1,0,PERU,60.0,10.0,1940-05-24,179.0,3.0,3500.0,4.0,1.0,3.0,101.0,3.0,5.0,3.0
PHILIPPINES:  LUZON:  E,17.0,121.63,7.2,1,0,PHILIPPINES,40.153361344537814,8.0,1949-12-29,16.0,1.0,1.0,1.0,51.0,2.0,51.0,2.0,1.0,2.0
THE NETHERLANDS: GRONINGEN,53.2,6.6,3.4,0,0,NETHERLANDS,40.153361344537814,7.85655923740354,2018-01-08,1.0,1.0,1.0,1.0,1000.0,4.0,101.0,3.0,1.0,2.0
CHINA:  SICHUAN PROVINCE,31.5,104.0,6.2,1,0,CHINA,40.153361344537814,7.0,1958-02-07,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5,1.0
AZORES,37.7,-29.4,7.6,0,0,AZORES (PORTUGAL),40.153361344537814,7.85655923740354,1968-02-28,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
TONGA ISLANDS,-23.046,-174.659,7.6,1,0,TONGA,34.0,7.85655923740354,2009-03-19,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"CALIFORNIA: SAN JACINTO, HEMET",33.762,-116.972,6.7,0,0,USA,10.0,10.0,1918-04-21,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.2,1.0
GUATEMALA,13.833,-90.881,6.8,0,0,GUATEMALA,58.0,7.85655923740354,1979-10-27,4.0,1.0,23.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
INDIA:  SIKKIM,27.382,88.388,5.3,0,0,INDIA,30.0,7.85655923740354,2006-02-14,2.0,1.0,2.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
"INDONESIA: JAVA: LUMAJANG, MALANG",-8.562,112.519,6.0,0,0,INDONESIA,82.0,5.0,2021-04-10,10.0,1.0,39.0,1.0,3024.0,4.0,85.0,2.0,5.0,3.0
"JAPAN:  HIROSHIMA, OKAYAMA, HONSHU, KAGAMA",34.083,132.526,6.8,0,0,JAPAN,50.0,9.0,2001-03-24,2.0,1.0,161.0,3.0,3700.0,4.0,101.0,3.0,500.0,4.0
IRAN:  GORGAN,37.103,54.574,5.4,0,0,IRAN,32.0,7.85655923740354,2005-01-10,1.0,1.0,110.0,3.0,1.0,3.0,101.0,3.0,1.0,2.0
